"Effective Time","Spin Time","Overhead Time","Effective Time","Spin Time","Overhead Time","Inactive Sync Wait Time","Preemption Wait Time","Inactive Sync Wait Time","Preemption Wait Time","Inactive Sync Wait Count","Preemption Wait Count","Inactive Sync Wait Count","Preemption Wait Count","Module","Function (Full)","Source File","Start Address"
"4.20554","0","0","0","0","0","0.650683","0.85133","0","0","3716","5770","0","0","[Unknown]","[Unknown]","[Unknown]","[Unknown]"
" 4.17851","0","0","0","0","0","0.650683","0.821886","0","0","3716","5506","0","0","ntdll.dll","func@0x4b2e7c23","[Unknown]","0x4b2e7c23"
"  4.17851","0","0","0","0","0","0.650683","0.821886","0","0","3716","5506","0","0","ntdll.dll","func@0x4b2e7c3f","[Unknown]","0x4b2e7c3f"
"   4.17851","0","0","0","0","0","0.650683","0.821886","0","0","3716","5506","0","0","app.exe","func@0x4012e0","[Unknown]","0x4012e0"
"    4.17851","0","0","0.000965583","0","0","0.650683","0.821886","0","0.0002355","3716","5506","0","3","app.exe","func@0x4011b0","[Unknown]","0x4011b0"
"     4.17755","0","0","0.00165904","0","0","0.650683","0.82165","0.0004757","8.26002e-05","3716","5503","4","2","app.exe","main","app.c","0x404d00"
"      4.17492","0","0","0.672848","0","0","0.647126","0.821204","0.647126","0.584224","3691","5499","3691","3339","app.exe","[Loop at line 139 in main]","app.c","0x404d30"
"       1.79129","0","0","0","0","0","0","0.106402","0","0","0","1105","0","0","app.exe","arm_convolve_HWC_q7_fast","arm_convolve_HWC_q7_fast.c","0x4017d0"
"        1.79129","0","0","0.000960542","0","0","0","0.106402","0","0.0002315","0","1105","0","2","app.exe","[Loop at line 384 in arm_convolve_HWC_q7_fast]","arm_convolve_HWC_q7_fast.c","0x401957"
"         1.79033","0","0","0","0","0","0","0.106171","0","1.10001e-05","0","1103","0","1","app.exe","[Loop at line 108 in arm_convolve_HWC_q7_fast]","arm_convolve_HWC_q7_fast.c","0x401986"
"          1.79033","0","0","0.0375831","0","0","0","0.10616","0","0.0036973","0","1102","0","36","app.exe","[Loop at line 388 in arm_convolve_HWC_q7_fast]","arm_convolve_HWC_q7_fast.c","0x4019bd"
"           1.75274","0","0","0.126301","0","0","0","0.102462","0","0.0122246","0","1066","0","83","app.exe","[Loop at line 391 in arm_convolve_HWC_q7_fast]","arm_convolve_HWC_q7_fast.c","0x401a10"
"            1.62644","0","0","0.291748","0","0","0","0.0902378","0","0.0194968","0","983","0","270","app.exe","[Loop at line 393 in arm_convolve_HWC_q7_fast]","arm_convolve_HWC_q7_fast.c","0x401a30"
"             1.3347","0","0","1.3347","0","0","0","0.070741","0","0.070741","0","713","0","713","app.exe","[Loop at line 400 in arm_convolve_HWC_q7_fast]","arm_convolve_HWC_q7_fast.c","0x401a60"
"       1.66672","0","0","0","0","0","0","0.10407","0","0","0","814","0","0","app.exe","arm_convolve_HWC_q7_RGB","arm_convolve_HWC_q7_RGB.c","0x4014a0"
"        1.66672","0","0","0","0","0","0","0.10407","0","0","0","814","0","0","app.exe","[Loop at line 258 in arm_convolve_HWC_q7_RGB]","arm_convolve_HWC_q7_RGB.c","0x4015f4"
"         1.66672","0","0","0.00333204","0","0","0","0.10407","0","4.34001e-05","0","814","0","1","app.exe","[Loop at line 97 in arm_convolve_HWC_q7_RGB]","arm_convolve_HWC_q7_RGB.c","0x401617"
"          1.66338","0","0","0.124368","0","0","0","0.104026","0","0.00822321","0","813","0","74","app.exe","[Loop at line 262 in arm_convolve_HWC_q7_RGB]","arm_convolve_HWC_q7_RGB.c","0x401646"
"           1.53902","0","0","0.136533","0","0","0","0.0958033","0","0.00935831","0","739","0","58","app.exe","[Loop at line 265 in arm_convolve_HWC_q7_RGB]","arm_convolve_HWC_q7_RGB.c","0x401680"
"            1.40248","0","0","1.40248","0","0","0","0.086445","0","0.086445","0","681","0","681","app.exe","[Loop at line 267 in arm_convolve_HWC_q7_RGB]","arm_convolve_HWC_q7_RGB.c","0x401695"
"       0.0290744","0","0","0","0","0","0","0.0056642","0","0","0","25","0","0","app.exe","arm_relu_q7","arm_relu_q7.c","0x401460"
"       0.0140298","0","0","0","0","0","0","0.0206298","0","0","0","213","0","0","app.exe","arm_maxpool_q7_HWC","arm_pool_q7_HWC.c","0x4020d0"
"       0.000965417","0","0","0","0","0","","","","","","","","","app.exe","func@0x4012e0","[Unknown]","0x4012e0"
"       0","0","0","0","0","0","0","0.0001892","0","0","0","2","0","0","app.exe","arm_fully_connected_q7_opt","arm_fully_connected_q7_opt.c","0x401c70"
"       0","0","0","0","0","0","0","2.42001e-05","0","2.42001e-05","0","1","0","1","app.exe","[Loop at line 152 in main]","app.c","0x404d32"
"      0.000968","0","0","0.000968","0","0","0.0030816","0.000364","0.0030816","0.000364","21","2","21","2","app.exe","[Loop at line 279 in main]","app.c","0x4050ee"
" 0.0141258","0","0","0","0","0","0","0.00897871","0","0","0","110","0","0","app.exe","arm_convolve_HWC_q7_fast","arm_convolve_HWC_q7_fast.c","0x4017d0"
" 0.00839992","0","0","0","0","0","0","0.0164478","0","0","0","125","0","0","app.exe","arm_convolve_HWC_q7_RGB","arm_convolve_HWC_q7_RGB.c","0x4014a0"
" 0.00449446","0","0","0","0","0","0","0.0038293","0","0","0","25","0","0","app.exe","arm_maxpool_q7_HWC","arm_pool_q7_HWC.c","0x4020d0"
" 0","0","0","0","0","0","0","3.17001e-05","0","0","0","1","0","0","app.exe","main","app.c","0x404d00"
" 0","0","0","0","0","0","0","0.0001569","0","0","0","3","0","0","app.exe","arm_relu_q7","arm_relu_q7.c","0x401460"
